"","V1","V2","V3","V4"
"1","Показатели","Ед. измерения","2020","2021"
"2","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","","",""
"3","Всего по обследуемым видам экономической деятельности","","",""
"4","январь-март","тысяча рублей","435989.2","441837"
"5","январь-июнь","тысяча рублей","756554.7","783475"
"6","январь-сентябрь","тысяча рублей","1062014.5","929358.4"
"7","январь-декабрь","тысяча рублей","1472741.3","1164587.4"
"8","Раздел D Обеспечение электрической энергией, газом и паром; кондиционирование воздуха","","",""
"9","январь-март","тысяча рублей","314421.3",""
"10","январь-июнь","тысяча рублей","531587.5",""
"11","январь-сентябрь","тысяча рублей","712134.5",""
