"","V1","V2","V3","V4"
"1","Показатели","Ед. измерения","2020","2021"
"2","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","","",""
"3","Всего по обследуемым видам экономической деятельности","","",""
"4","январь-март","тысяча рублей","588259.5","890073"
"5","январь-июнь","тысяча рублей","1401205","1728608"
"6","январь-сентябрь","тысяча рублей","2262796.4","3183837.7"
"7","январь-декабрь","тысяча рублей","2969558.7","4506421.9"
"8","Раздел В Добыча полезных ископаемых","","",""
"9","январь-март","тысяча рублей","192538",""
"10","январь-июнь","тысяча рублей","649055",""
"11","январь-сентябрь","тысяча рублей","1107049",""
"12","Раздел C Обрабатывающие производства","","",""
"13","январь-март","тысяча рублей","1359.1",""
"14","январь-июнь","тысяча рублей","2759.5",""
"15","январь-сентябрь","тысяча рублей","4752.4","260009.6"
"16","январь-декабрь","тысяча рублей","","592224.8"
"17","Раздел D Обеспечение электрической энергией, газом и паром; кондиционирование воздуха","","",""
"18","январь-март","тысяча рублей","151853.3",""
"19","январь-июнь","тысяча рублей","222655.1",""
"20","январь-сентябрь","тысяча рублей","272700",""
