"","V1","V2","V3","V4"
"1","Показатели","Ед. измерения","2020","2021"
"2","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","","",""
"3","Всего по обследуемым видам экономической деятельности","","",""
"4","январь-март","тысяча рублей","379387.3","384908.2"
"5","январь-июнь","тысяча рублей","626951","596527.2"
"6","январь-сентябрь","тысяча рублей","881611.8","753036.2"
"7","январь-декабрь","тысяча рублей","1323437.1","1128653.6"
"8","Раздел D Обеспечение электрической энергией, газом и паром; кондиционирование воздуха","","",""
"9","январь-март","тысяча рублей","237516.4",""
"10","январь-июнь","тысяча рублей","304583.3",""
"11","январь-сентябрь","тысяча рублей","331731.8",""
