"","V1","V2","V3","V4"
"1","Показатели","Ед. измерения","2020","2021"
"2","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","","",""
"3","Всего по обследуемым видам экономической деятельности","","",""
"4","январь-март","тысяча рублей","834122","700801"
"5","январь-июнь","тысяча рублей","1434786.8","1340132.4"
"6","январь-сентябрь","тысяча рублей","2774639.7","2090334.6"
"7","январь-декабрь","тысяча рублей","4070777.6","2644654.8"
"8","Раздел В Добыча полезных ископаемых","","",""
"9","январь-март","тысяча рублей","137149.3",""
"10","январь-июнь","тысяча рублей","188915.3",""
"11","январь-сентябрь","тысяча рублей","979862.3",""
"12","Раздел D Обеспечение электрической энергией, газом и паром; кондиционирование воздуха","","",""
"13","январь-март","тысяча рублей","567241.4","522267.3"
"14","январь-июнь","тысяча рублей","999159.6","918774.8"
"15","январь-сентябрь","тысяча рублей","1350117.4","994762.4"
"16","январь-декабрь","тысяча рублей","1850763","1188235.4"
