"","V1","V2","V3","V4"
"1","Показатели","Ед. измерения","2020","2021"
"2","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","","",""
"3","Всего по обследуемым видам экономической деятельности","","",""
"4","январь-март","тысяча рублей","1236121.8","1241986.1"
"5","январь-июнь","тысяча рублей","2924113.8","3033040.4"
"6","январь-сентябрь","тысяча рублей","5140497.3","5371597"
"7","январь-декабрь","тысяча рублей","6777792.1","6780617.9"
"8","Раздел C Обрабатывающие производства","","",""
"9","январь-март","тысяча рублей","670361.9","636499.5"
"10","январь-июнь","тысяча рублей","1816687.9","1990378.8"
"11","январь-сентябрь","тысяча рублей","3282893.6","3925701.6"
"12","январь-декабрь","тысяча рублей","4210472.2","4329776.4"
"13","Раздел D Обеспечение электрической энергией, газом и паром; кондиционирование воздуха","","",""
"14","январь-март","тысяча рублей","318220.9","343754.4"
"15","январь-июнь","тысяча рублей","495800","525266"
"16","январь-сентябрь","тысяча рублей","581384.5","660436.1"
"17","январь-декабрь","тысяча рублей","856930","962167.2"
