"","V1","V2","V3","V4"
"1","Показатели","Ед. измерения","2020","2021"
"2","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","","",""
"3","Всего по обследуемым видам экономической деятельности","","",""
"4","январь-март","тысяча рублей","173199.3","122850.8"
"5","январь-июнь","тысяча рублей","263541.7","207764.7"
"6","январь-сентябрь","тысяча рублей","336226.8","227660.9"
"7","январь-декабрь","тысяча рублей","459675.6","285465.5"
"8","Раздел C Обрабатывающие производства","","",""
"9","январь-март","тысяча рублей","624",""
"10","январь-июнь","тысяча рублей","1251",""
"11","январь-сентябрь","тысяча рублей","1953",""
"12","Раздел D Обеспечение электрической энергией, газом и паром; кондиционирование воздуха","","",""
"13","январь-март","тысяча рублей","118598.2",""
"14","январь-июнь","тысяча рублей","200139.8",""
"15","январь-сентябрь","тысяча рублей","264917.9",""
