,0
10655000,Шимановский муниципальный район
10654000,Тындинский муниципальный район
10651000,Тамбовский муниципальный район
10649000,Сковородинский муниципальный район
10647000,Серышевский муниципальный район
10645000,Селемджинский муниципальный район
10642000,Свободненский муниципальный район
10640000,Ромненский муниципальный район
10638000,Октябрьский муниципальный район
10635000,Михайловский муниципальный район
10632000,Мазановский муниципальный район
10631000,Магдагачинский муниципальный район
10630000,Константиновский муниципальный район
10628000,Ивановский муниципальный район
10625000,Зейский муниципальный район
10621000,Завитинский муниципальный район
10615000,Бурейский муниципальный район
10611000,Благовещенский муниципальный район
10608000,Белогорский муниципальный район
10605000,Архаринский муниципальный район
10701000,город Благовещенск
