,X,V1,V2,V3,V4
7,"Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)",Шимановский муниципальный район,тысяча рублей,271626.5,112771.8
71,"Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)",Тындинский муниципальный район,тысяча рублей,23187365,23253393.9
72,"Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)",Тамбовский муниципальный район,тысяча рублей,5411612.7,6801539.6
73,"Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)",Сковородинский муниципальный район,тысяча рублей,8275375,15928398.6
74,"Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)",Серышевский муниципальный район,тысяча рублей,906312.7,964458.8
75,"Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)",Селемджинский муниципальный район,тысяча рублей,43157654.3,29826134.7
76,"Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)",Свободненский муниципальный район,тысяча рублей,6323617,29427387.3
77,"Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)",Ромненский муниципальный район,тысяча рублей,47572.1,47572.1
78,"Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)",Октябрьский муниципальный район,тысяча рублей,2881579,3270859.5
79,"Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)",Михайловский муниципальный район,тысяча рублей,160952.9,824516.6
710,"Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)",Мазановский муниципальный район,тысяча рублей,234422.5,316409
711,"Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)",Магдагачинский муниципальный район,тысяча рублей,20517646.3,28424676
712,"Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)",Константиновский муниципальный район,тысяча рублей,1234430.3,1090760.6
713,"Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)",Ивановский муниципальный район,тысяча рублей,1930658,2527975.8
714,"Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)",Зейский муниципальный район,тысяча рублей,6635361.2,8000649.3
715,"Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)",Завитинский муниципальный район,тысяча рублей,240650,297160.3
716,"Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)",Бурейский муниципальный район,тысяча рублей,9823109.7,6556810.1
717,"Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)",Благовещенский муниципальный район,тысяча рублей,3058114.7,5642963.8
718,"Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)",Белогорский муниципальный район,тысяча рублей,832160.8,832160.8
719,"Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)",Архаринский муниципальный район,тысяча рублей,223246.8,198803.5
720,"Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)",город Благовещенск,тысяча рублей,76177279,106134200.3
