,0
98660000,Нерюнгринский муниципальный район
98659000,Эвено-Бытантайский национальный муниципальный район
98658000,Чурапчинский муниципальный район
98656000,Усть-Янский муниципальный район
98654000,Усть-Майский муниципальный район
98652000,Усть-Алданский муниципальный район
98650000,Томпонский муниципальный район
98648000,Сунтарский муниципальный район
98646000,Среднеколымский муниципальный район
98644000,Хангаласский муниципальный район
98642000,Оленекский муниципальный район
98641000,Олекминский муниципальный район
98639000,Оймяконский муниципальный район
98637000,Нижнеколымский муниципальный район
98635000,Намский муниципальный район
98633000,Момский муниципальный район
98631000,Мирнинский муниципальный район
98629000,Мегино-Кангаласский муниципальный район
98627000,Ленский муниципальный район
98626000,Нюрбинский муниципальный район
98624000,Кобяйский муниципальный район
98622000,Жиганский муниципальный район
98620000,Горный муниципальный район
98618000,Вилюйский муниципальный район
98616000,Верхоянский муниципальный район
98615000,Верхнеколымский муниципальный район
98614000,Верхневилюйский муниципальный район
98612000,Булунский муниципальный район
98610000,Анабарский национальный (долгано-эвенкийский) муниципальный район
98608000,Амгинский муниципальный район
98606000,Аллаиховский муниципальный район
98604000,Таттинский муниципальный район
98603000,Алданский муниципальный район
98601000,Абыйский муниципальный район
98701000,Город Якутск
