"","X","V1","V2","V3","V4"
"7","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","Нерюнгринский муниципальный район","тысяча рублей",98711135.7,251703135.2
"71","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","Эвено-Бытантайский национальный муниципальный район","тысяча рублей",459675.6,285465.5
"72","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","Чурапчинский муниципальный район","тысяча рублей",1445308.4,1404344
"73","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","Усть-Янский муниципальный район","тысяча рублей",4070777.6,2644654.8
"74","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","Усть-Алданский муниципальный район","тысяча рублей",1323437.1,1128653.6
"75","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","Томпонский муниципальный район","тысяча рублей",2969558.7,4506421.9
"76","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","Сунтарский муниципальный район","тысяча рублей",1571717.8,1344091.9
"77","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","Среднеколымский муниципальный район","тысяча рублей",1472741.3,1164587.4
"78","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","Хангаласский муниципальный район","тысяча рублей",6777792.1,6780617.9
"79","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","Оленекский муниципальный район","тысяча рублей",1123873.5,1604031.7
"710","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","Олекминский муниципальный район","тысяча рублей",53853613.3,53401762.5
"711","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","Оймяконский муниципальный район","тысяча рублей",24080195.7,31486334.3
"712","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","Нижнеколымский муниципальный район","тысяча рублей",1113619.5,1105190.4
"713","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","Намский муниципальный район","тысяча рублей",1225509.3,1605715.4
"714","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","Момский муниципальный район","тысяча рублей",1759636.9,1554365.6
"715","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","Мирнинский муниципальный район","тысяча рублей",316953862.5,499543443
"716","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","Мегино-Кангаласский муниципальный район","тысяча рублей",1743285,2064715.9
"717","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","Ленский муниципальный район","тысяча рублей",291695650.1,507554963.6
"718","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","Нюрбинский муниципальный район","тысяча рублей",46853388.3,10152649.7
"719","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","Кобяйский муниципальный район","тысяча рублей",7764595.8,5930145.2
"720","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","Жиганский муниципальный район","тысяча рублей",815079.9,676537.4
"721","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","Горный муниципальный район","тысяча рублей",856200.7,1014075.3
"722","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","Вилюйский муниципальный район","тысяча рублей",7443243.2,9710493.7
"723","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","Верхоянский муниципальный район","тысяча рублей",2738531.3,2216074.9
"724","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","Верхнеколымский муниципальный район","тысяча рублей",1844522.9,1748753.8
