"","Название","ИНН","name","text"
"1","Общество с ограниченной ответственностью «АЛЕАН»","7714950057",1,"NA"
"2","Общество с ограниченной ответственностью «Аллюръ»","7724363386",1,"NA"
"3","Общество с ограниченной ответственностью «Алмазный научно-технологический центр»","7751060422",1,"NA"
"4","Общество с ограниченной ответственностью «Алтей-Бук»","7716543498",1,"NA"
"5","Общество с ограниченной ответственностью «АЛЬПАТРИ»","7715220896",1,"NA"
"6","Общество с ограниченной ответственностью «Альфа Автоматив Техноложиз»","7725618132",1,"NA"
"7","Общество с ограниченной ответственностью «Альфа Алюминий»","9705043948",1,"NA"
"8","Общество с ограниченной ответственностью «Альфакип»","7715439455",1,"NA"
"9","Общество с ограниченной ответственностью «Альянс Медиа Стратегия»","7730650477",1,"NA"
"10","Общество с ограниченной ответственностью «Альянс»","7743884440",19,"7708789748, 7743224765, 7702810538, 7727194947, 7723758913, 7706440736, 7751135117, 5753203048, 7727356813, 7724442060, 9715317852, 9701113746, 7722340520, 7735589635, 7724411590, 7736263629, 7710962326, 7706811250"
"11","Общество с ограниченной ответственностью «АльянсПринт»","7706262850",1,"NA"
"12","Общество с ограниченной ответственностью «Амедарт»","7705904720",1,"NA"
"13","Общество с ограниченной ответственностью «АМФ экспо»","7705944378",1,"NA"
"14","Общество с ограниченной ответственностью «Аналитическая Группа АНАЛИТЭКСПЕРТ»","7706756930",1,"NA"
"15","Общество с ограниченной ответственностью «Аналитэксперт»","7728380431",1,"NA"
"16","Общество с ограниченной ответственностью «Ангарейон-Сб»","9701002500",1,"NA"
"17","Общество с ограниченной ответственностью «Андерсен-Тревел»","7743947796",1,"NA"
"18","Общество с ограниченной ответственностью «АНТ Технолоджис»","7713689918",1,"NA"
"19","Общество с ограниченной ответственностью «АНТАРОСС»","9721073611",1,"NA"
"20","Общество с ограниченной ответственностью «АНТОР БИЗНЕС РЕШЕНИЯ»","7708215045",1,"NA"
"21","Общество с ограниченной ответственностью «Ан-Тур»","7731439484",1,"NA"
"22","Общество с ограниченной ответственностью «АПИК Технолоджи»","7735141674",1,"NA"
"23","Общество с ограниченной ответственностью «Апогей»","7729051341",9,"7725524646, 7704411641, 7717138774, 7743307147, 9718007859, 9709044501, 3307007851, 7708350950"
"24","Общество с ограниченной ответственностью «АПТОС ГРУПП»","7727047484",1,"NA"
"25","Общество с ограниченной ответственностью «Аравия»","7704735318",1,"NA"
"26","Общество с ограниченной ответственностью «Арвитекс»","7111502665",1,"NA"
"27","Общество с ограниченной ответственностью «Ардена»","9710047465",3,"7720412441, 7715832360"
"28","Общество с ограниченной ответственностью «АРКТИЛАЙН»","7701334854",1,"NA"
"29","Общество с ограниченной ответственностью «Ароматы тайги»","9718124344",1,"NA"
"30","Общество с ограниченной ответственностью «Арт-Ам»","7726344477",1,"NA"
"31","Общество с ограниченной ответственностью «АртКор»","7730588701",2,"7715466071"
"32","Общество с ограниченной ответственностью «АРТОТОЙЗ»","7715826366",1,"NA"
"33","Общество с ограниченной ответственностью «АРТСЕРВИС-ДИЗАЙН»","7715673991",1,"NA"
"34","Общество с ограниченной ответственностью «Архмедстрой»","7724807747",1,"NA"
"35","Общество с ограниченной ответственностью «Аспро»","7726674845",1,"NA"
