year,month,obor_gruz,obor_pass,n_freight,n_pass,predgi,predgm,predpi,predpm,koef_zag,ipc_gruz,ipc_pass,ipc_pass_in,ipc_polet,cena_polet,c1,c2,c3,c4,c5,c6,c7,c8
Названия,,Грузооборот ,Пассажирооборот,Перевезено грузов и почты,Перевезено пассажиров,Внутренние перевозки,Международные перевозки,Внутренние перевозки,Международные перевозки,Коэффициент загрузки ,Грузовые авиаперевозки,Пассажирские авиаперевозки,Пассажирские авиаперевозки (внутренний рынок),"Полет в салоне экономического класса самолета, в расчете на 1000 км пути",Российская Федерация,Центральный федеральный округ,Северо-Западный федеральный округ,Южный федеральный округ,Северо-Кавказский федеральный округ,Приволжский федеральный округ,Уральский федеральный округ,Сибирский федеральный округ,Дальневосточный федеральный округ
Единицы ,,млрд тонн-км,млрд пассажиро-км,млн тонн,млн, тысяча тонно-километров, тысяча тонно-километров, тысяча пассажиро-километров, тысяча пассажиро-километров,,процент к предыдущему месяцу,процент к предыдущему месяцу,процент к предыдущему месяцу,процент к предыдущему месяцу,руб,руб,руб,руб,руб,руб,руб,руб,руб
1997,1,,,,,,,,,,101.58,,,,,,,,,,,,
1997,2,,,,,,,,,,101.06,,,,,,,,,,,,
1997,3,,,,,,,,,,100.72,,,,,,,,,,,,
1997,4,,,,,,,,,,100.83,,,,,,,,,,,,
1997,5,,,,,,,,,,100.21,,,,,,,,,,,,
1997,6,,,,,,,,,,99.36,,,,,,,,,,,,
1997,7,,,,,,,,,,100.39,,,,,,,,,,,,
1997,8,,,,,,,,,,100.17,,,,,,,,,,,,
1997,9,,,,,,,,,,100.54,,,,,,,,,,,,
1997,10,,,,,,,,,,100.51,,,,,,,,,,,,
1997,11,,,,,,,,,,100.53,,,,,,,,,,,,
1998,12,,,,,,,,,,100.26,,,,,,,,,,,,
1998,1,,,,,,,,,,100.5,,,,,,,,,,,,
1998,2,,,,,,,,,,101.01,,,,,,,,,,,,
1998,3,,,,,,,,,,100.25,,,,,,,,,,,,
1998,4,,,,,,,,,,100.86,,,,,,,,,,,,
1998,5,,,,,,,,,,100.8,,,,,,,,,,,,
1998,6,,,,,,,,,,100.36,,,,,,,,,,,,
1998,7,,,,,,,,,,108.09,,,,,,,,,,,,
1998,8,,,,,,,,,,190.52,,,,,,,,,,,,
1998,9,,,,,,,,,,103.52,,,,,,,,,,,,
1998,10,,,,,,,,,,101.69,,,,,,,,,,,,
1998,11,,,,,,,,,,117.08,,,,,,,,,,,,
1999,12,,,,,,,,,,114.22,,,,,,,,,,,,
1999,1,,,,,,,,,,101.99,,,,,,,,,,,,
1999,2,,,,,,,,,,102.89,,,,,,,,,,,,
1999,3,,,,,,,,,,104.04,,,,,,,,,,,,
1999,4,,,,,,,,,,100.44,,,,,,,,,,,,
1999,5,,,,,,,,,,99.95,,,,,,,,,,,,
1999,6,,,,,,,,,,101.11,,,,,,,,,,,,
1999,7,,,,,,,,,,102.84,,,,,,,,,,,,
1999,8,,,,,,,,,,104.52,,,,,,,,,,,,
1999,9,,,,,,,,,,102.47,,,,,,,,,,,,
1999,10,,,,,,,,,,101.89,,,,,,,,,,,,
1999,11,,,,,,,,,,102.27,,,,,,,,,,,,
2000,12,,,,,,,,,,105.18,,,,1369.51,,,,,,,,
2000,1,,,,,,,,,,102.75,,,,1389.12,,,,,,,,
2000,2,,,,,,,,,,99.61,,,,1411.18,,,,,,,,
2000,3,,,,,,,,,,100.79,,,,1435,,,,,,,,
2000,4,,,,,,,,,,100.08,,,,1469.42,,,,,,,,
2000,5,,,,,,,,,,100.55,,,,1487.5,,,,,,,,
