year,n_pass,obor_pass,n_freight,obor_gruz,n_freight_2,obor_gruz_2,podvizh,pp1,pp2,pg1,pg2,pa,n_aeroport,n_companies
Названия,Перевезено пассажиров,Пассажирооборот,Перевезено грузов и почты,Грузооборот ,Перевезено грузов и почты,Грузооборот,Транспортная подвижность населения (все виды транспорта),"Перевозка воздушным пассажирским транспортом, подчиняющимся расписанию","Перевозка воздушным пассажирским транспортом, не подчиняющимся расписанию","Перевозка воздушным грузовым транспортом, подчиняющимся расписанию","Перевозка воздушным грузовым транспортом, не подчиняющимся расписанию",Деятельность аэропортовая,Число аэропортов в РФ:,Число авикомпаний в РФ
Единицы ,млн,млрд пассажиро-км,млн тонн,млрд тонн-км,тыс тонн,млн тонн-км,пассажиро-километров на человека,млрд руб,млрд руб,млрд руб,млрд руб,млрд руб,Число аэропортов,Число авикомпаний 
1925,0.003,,0.000026,,0.026,,,,,,,,,
1930,0.012,,0.000251,0.0002,0.251,0.2,,,,,,,,
1935,0.104,,0.016,0.0065,16,6.5,,,,,,,,
1940,0.41,0.2,0.0584,0.023,58.4,23,,,,,,,,
1945,0.6,0.5,0.0741,0.064,74.1,64,,,,,,,,
1950,1.604,1.2,0.161,0.136,161,136,,,,,,,,
1955,2.5,2.8,0.259,0.252,259,252,,,,,,,,
1960,16,12.1,0.697,0.563,697,563,,,,,,,,
1965,42.1,38.1,1.228,1.338,1228,1338,,,,,,,,
1970,71.4,54.9,1.844,1.877,1844,1877,,,,,,,,
1975,98.1,86.2,2.472,2.59,2472,2590,,,,,,,,
1980,104,102.3,2.989,3.094,2989,3094,,,,,,,,
1985,113,159.5,3.2,3.35,3200,3350,,,,,,,,
1990,91,159.5,2.5,2.6,2500,2600,,,,,,,,
1991,86,150.4,2.2,2.4,,,,,,,,,1450,1
1992,63,117.7,1.4,1.8,,,,,,,,,,16
1993,42,83.2,0.9,1.6,,,,,,,,,,99
1994,34,72.3,0.6,1.5,,,,,,,,,,239
1995,33,71.7,0.6,1.56,600,1560,,,,,,,876,383
1996,28,64.5,0.8,2.1,,,,,,,,,,379
1997,26,61.5,0.8,2.5,,,,,,,,,,379
1998,23,55.5,0.6,2,,,,,,,,,,354
1999,22,53.4,0.7,2.3,,,,,,,,,,328
2000,23,54,0.8,2.52,770,2520,,,,,,,533,296
2001,26,60.6,0.9,2.6,,,,,,,,,,267
2002,28,64.7,0.9,2.7,,,,,,,,,,235
2003,31,71.1,0.8,2.7,,,,,,,,,,216
2004,35,83,0.9,3,,,,,,,,,,199
2005,37,85.8,0.8,2.83,820,2830,,,,,,,393,182
2006,40,93.9,0.9,2.9,,,,,,,,,,184
2007,47,111,1,3.4,,,,,,,,,,179
2008,51,122.6,1,3.7,,,,,,,,,,176
2009,47,112.5,0.9,3.6,,,,,,,,,,167
2010,59,147.1,1.1,4.7,1100,4700,,,,,,,332,159
2011,66,166.8,1.2,4.95,,,3514.6,,,,,,,127
2012,76,195.8,1.2,5.1,,,3717.4,,,,,,,121
2013,86,225.2,1.2,5,,,3811.2,,,,,,,118
2014,95,241.4,1.3,5.2,,,3805,,,,,,,122
2015,94,226.8,1.2,5.4,1200,5400,3617.7,,,,,,282,115
2016,91,217,1.1,6.58,980,6580,3541.1,,,,,,254,113
2017,108,259.4,1.3,7.59,1130,7590,3814.8,69.3170,-0.6481,5.1179,4.8445,21.7937,233,111
2018,118,286.9,1.3,7.81,1180,7810,4042.5,15.2594,-0.4718,1.3972,6.6396,29.0947,226,109
2019,131,323,1.3,7.39,1150,7390,4327.7,38.8254,0.6857,-6.0133,0.6576,35.7993,,107
