index_date,index_value
2016-07-01,31460
2016-07-04,31458
2016-07-05,31449
2016-07-06,31403
2016-07-07,31560
2016-07-08,31400
2016-07-11,31546
2016-07-12,31537
2016-07-13,31750
2016-07-14,31759
2016-07-15,31785
2016-07-18,31795
2016-07-19,31785
2016-07-20,31785
2016-07-21,31733
2016-07-22,31645
2016-07-25,31427
2016-07-26,31400
2016-07-27,31400
2016-07-28,31535
2016-07-29,31545
2016-08-01,31545
2016-08-02,31545
2016-08-03,31545
2016-08-04,31545
2016-08-05,31545
2016-08-08,31545
2016-08-09,31545
2016-08-10,31519
2016-08-11,31524
2016-08-12,31518
2016-08-15,31545
2016-08-16,31553
2016-08-17,31563
2016-08-18,31563
2016-08-19,31563
2016-08-22,31560
2016-08-23,31563
2016-08-24,31553
2016-08-25,31625
2016-08-26,31626
2016-08-29,31626
2016-08-30,31555
2016-08-31,31564
2016-09-01,31575
2016-09-02,31571
2016-09-05,31559
2016-09-06,31575
2016-09-07,31625
2016-09-08,31725
2016-09-09,31560
2016-09-12,31560
2016-09-13,31570
2016-09-14,31570
2016-09-15,31625
2016-09-16,31620
2016-09-19,31630
2016-09-20,31600
2016-09-21,31608
2016-09-22,31593
2016-09-23,31590
2016-09-26,31578
2016-09-27,31568
2016-09-28,31557
2016-09-29,31634
2016-09-30,32000
2016-10-03,32002
2016-10-04,31998
2016-10-05,31997
2016-10-06,32003
2016-10-07,31997
2016-10-10,32081
2016-10-11,32000
2016-10-12,32272
2016-10-13,32274
2016-10-14,32099
2016-10-17,32047
2016-10-18,32296
2016-10-19,32266
2016-10-20,32670
2016-10-21,33010
2016-10-24,32989
2016-10-25,33300
2016-10-26,33505
2016-10-27,33710
2016-10-28,33720
2016-10-31,33760
2016-11-01,33928
2016-11-02,34199
2016-11-03,34047
2016-11-07,33896
2016-11-08,33738
2016-11-09,33734
2016-11-10,33761
2016-11-11,33766
2016-11-14,33788
2016-11-15,33822
2016-11-16,33743
2016-11-17,33823
2016-11-18,33828
2016-11-21,33779
2016-11-22,33764
2016-11-23,33764
2016-11-24,33791
2016-11-25,33776
2016-11-28,33753
2016-11-29,33850
2016-11-30,33823
2016-12-01,33728
2016-12-02,33775
2016-12-05,33939
2016-12-06,33965
2016-12-07,33710
2016-12-08,33735
2016-12-09,33735
2016-12-12,33723
2016-12-13,33799
2016-12-14,33779
2016-12-15,33768
2016-12-16,33780
2016-12-19,33796
2016-12-20,33830
2016-12-21,33783
2016-12-22,33770
2016-12-23,33823
2016-12-26,33888
2016-12-27,35122
2017-01-09,35104
2017-01-10,35108
2017-01-11,35112
2017-01-12,35112
2017-01-13,35103
2017-01-16,35240
2017-01-17,35107
2017-01-18,35084
2017-01-19,35175
2017-01-20,35137
2017-01-23,35248
2017-01-24,35192
2017-01-25,35253
2017-01-26,35246
2017-01-27,35250
2017-01-30,35249
2017-01-31,35247
2017-02-01,34550
2017-02-02,34526
2017-02-03,34553
2017-02-06,34555
2017-02-07,34555
2017-02-08,34550
2017-02-09,34659
2017-02-10,34706
2017-02-13,34707
2017-02-14,34664
2017-02-15,34661
2017-02-16,34661
2017-02-17,34687
2017-02-20,34673
2017-02-21,34667
2017-02-22,34664
2017-02-27,34720
2017-02-28,34721
2017-03-01,34551
2017-03-02,34549
2017-03-03,34549
2017-03-06,34700
2017-03-07,34605
2017-03-09,34643
2017-03-10,34640
2017-03-13,34705
2017-03-14,34672
2017-03-15,34682
2017-03-16,34725
2017-03-17,34681
2017-03-20,34701
2017-03-21,34692
2017-03-22,34653
2017-03-23,34653
2017-03-24,34653
2017-03-27,34653
2017-03-28,34716
2017-03-29,34645
2017-03-30,33625
2017-03-31,33260
2017-04-03,33125
2017-04-04,33300
