city,year,quarter,freight_in,freight_out,pass_in,pass_out,ind_in,ind_out
Город,Год,Квартал,"Количество грузовых транспортных средств, перемещенных через пункт пропуска ","Количество грузовых транспортных средств, перемещенных через пункт пропуска ","Количество пассажирских транспортных средств, перемещенных через пункт пропуска ","Количество пассажирских транспортных средств, перемещенных через пункт пропуска ","Количество физических лиц, проследовавших через пункт пропуска","Количество физических лиц, проследовавших через пункт пропуска"
,,,В Россию,Из России,В Россию,Из России,В Россию,Из России
Абакан,2018,3,0,0,9,10,1701,1706
Абакан,2018,6,1,0,9,10,763,803
Абакан,2018,9,0,0,9,7,1492,1454
Абакан,2018,12,4,3,13,10,1844,1571
Абакан,2019,3,0,0,10,9,2214,1957
Абакан,2019,6,2,2,4,5,802,823
Абакан,2019,9,0,0,7,8,1472,1483
Абакан,2019,12,2,0,7,9,1514,1711
Абакан,2020,3,0,0,8,9,1896,1670
Абакан,2020,6,0,6,0,0,0,81
Абакан,2020,9,0,4,1,1,119,80
Абакан,2020,12,0,0,0,6,0,0
Анадырь,2018,3,0,0,4,4,18,11
Анадырь,2018,6,0,0,3,2,9,5
Анадырь,2018,9,0,0,21,22,114,117
Анадырь,2018,12,0,0,2,5,16,25
Анадырь,2019,3,0,0,3,4,234,236
Анадырь,2019,6,0,1,8,14,31,37
Анадырь,2019,9,0,0,21,23,157,195
Анадырь,2019,12,0,0,3,0,6,0
Анадырь,2020,3,0,0,2,2,3,13
Анадырь,2020,6,0,0,1,0,3,0
Анадырь,2020,9,0,0,2,3,13,9
Анадырь,2020,12,0,0,4,5,17,33
Анапа,2018,3,2,0,14,15,88,99
Анапа,2018,6,2,0,30,31,256,164
Анапа,2018,9,2,2,43,48,437,511
Анапа,2018,12,1,0,30,33,761,1448
Анапа,2019,3,1,0,30,34,1890,629
Анапа,2019,6,2,1,34,33,789,552
Анапа,2019,9,4,4,73,78,3094,3511
Анапа,2019,12,0,0,35,38,1520,1614
Анапа,2020,3,1,1,15,16,297,318
Анапа,2020,6,1,1,3,5,18,40
Анапа,2020,9,0,1,24,23,132,134
Анапа,2020,12,14,12,18,18,227,234
Архангельск,2018,3,0,1,9,8,2080,2097
Архангельск,2018,6,1,0,94,95,17589,20433
Архангельск,2018,9,1,0,103,102,22134,21166
Архангельск,2018,12,0,0,30,30,5831,3726
Архангельск,2019,3,0,0,2,2,191,459
Архангельск,2019,6,0,0,85,81,15277,17368
Архангельск,2019,9,0,0,89,88,19111,19093
Архангельск,2019,12,0,2,38,34,7265,5847
Архангельск,2020,3,0,1,1,2,248,276
Архангельск,2020,6,1,1,0,0,2,10
Архангельск,2020,9,0,0,0,2,10,6
Архангельск,2020,12,0,0,3,7,15,28
Астрахань,2018,3,0,0,1,2,5,8
Астрахань,2018,6,0,0,49,46,7056,8066
Астрахань,2018,9,0,0,62,58,10922,10711
Астрахань,2018,12,0,0,14,26,2128,1298
Астрахань,2019,3,0,0,3,4,252,21
Астрахань,2019,6,0,0,53,54,8008,9134
Астрахань,2019,9,0,0,93,96,14024,13732
Астрахань,2019,12,0,0,42,44,4315,3441
Астрахань,2020,3,0,0,15,16,997,939
Астрахань,2020,6,0,0,1,0,8,0
Астрахань,2020,9,0,0,4,3,23,18
Астрахань,2020,12,0,0,4,4,47,17
Барнаул,2018,3,0,0,32,29,6880,6877
Барнаул,2018,6,0,0,20,19,3957,3936
Барнаул,2018,9,0,0,53,51,11629,11736
Барнаул,2018,12,0,0,44,44,8476,8333
Барнаул,2019,3,0,0,40,39,9266,8838
Барнаул,2019,6,0,0,30,29,6697,7040
Барнаул,2019,9,0,0,42,43,10473,10692
Барнаул,2019,12,0,0,33,32,7071,6814
Барнаул,2020,3,0,0,33,34,8042,7111
Барнаул,2020,6,0,0,0,0,0,0
Барнаул,2020,9,0,0,0,0,0,0
Барнаул,2020,12,0,0,0,0,0,0
Белгород,2018,3,0,0,31,28,4944,4444
Белгород,2018,6,0,0,129,126,21425,26142
Белгород,2018,9,0,0,160,158,33351,32069
Белгород,2018,12,0,0,52,50,8517,7742
Белгород,2019,3,0,0,14,15,2608,2598
Белгород,2019,6,0,0,151,151,27533,30712
Белгород,2019,9,0,0,181,180,38384,38073
Белгород,2019,12,0,0,66,65,12337,10014
Белгород,2020,3,0,0,23,23,3011,2652
Белгород,2020,6,0,0,1,1,5,6
Белгород,2020,9,0,0,3,3,17,15
Белгород,2020,12,0,0,10,10,39,62
Благовещенск,2018,3,1,1,32,33,8769,8855
Благовещенск,2018,6,1,0,34,36,8783,8669
Благовещенск,2018,9,0,0,47,47,10679,11078
Благовещенск,2018,12,1,0,45,47,10080,10226
Благовещенск,2019,3,0,1,36,37,9827,9889
Благовещенск,2019,6,0,1,32,31,9213,9077
Благовещенск,2019,9,0,0,34,34,9681,9855
Благовещенск,2019,12,0,0,46,45,10276,10900
Благовещенск,2020,3,0,1,50,48,11914,10024
Благовещенск,2020,6,0,0,3,5,19,41
Благовещенск,2020,9,0,0,13,12,2574,1250
Благовещенск,2020,12,2,3,14,6,2152,462
Братск,2018,3,0,1,0,0,0,18
Братск,2018,6,0,0,2,2,18,17
Братск,2018,9,0,0,0,0,0,0
Братск,2018,12,0,0,0,0,0,0
Братск,2019,3,0,0,0,0,0,0
Братск,2019,6,0,0,3,1,85,6
Братск,2019,9,0,0,0,2,0,75
Братск,2019,12,0,0,0,0,0,0
Брянск,2018,3,0,0,3,2,12,9
Брянск,2018,6,0,0,5,8,496,737
Брянск,2018,9,0,0,14,12,1894,1910
Брянск,2018,12,0,0,5,7,275,31
Брянск,2019,3,0,0,1,1,2,1
Брянск,2019,6,0,0,6,6,553,768
Брянск,2019,9,0,0,17,14,1721,1714
Брянск,2019,12,0,0,2,4,191,98
Брянск,2020,3,0,0,5,3,15,13
Брянск,2020,6,0,0,4,4,14,20
