,EIA (01/2022),ABN Amro (01/2022),Societe General (01/2022),BoA Securities (01/2022),Morgan Stanley (01/2022),Goldman Sachs (01/2022),Argus Consulting (01/2022),Факт
2019Q1,69.04,,,,,,,69.04
2019Q2,61.90,,,,,,,61.90
2019Q3,63.30,,,,,,,63.30
2019Q4,49.97,,,,,,,49.97
2020Q1,29.52,,,,,,,29.52
2020Q2,42.97,,,,,,,42.97
2020Q3,44.34,,,,,,,44.34
2020Q4,61.12,,,,,,,61.12
2021Q1,68.91,,,,,,,68.91
2021Q2,73.45,,,,,,,73.45
2021Q3,79.42,,,,,,,79.42
2021Q4,78.63,78.63,78.63,78.63,78.63,78.63,78.63,78.63
2022Q1,75.65,82,80,85,82.5,85,82.7,
2022Q2,74.67,83,80,95,87.5,,77.6,
2022Q3,70.98,,,,,,,
2022Q4,69.00,,,,,,,
2023Q1,68.00,,,,,,,
2023Q2,67.00,,,,,,,
2023Q3,66.00,,,,,,,
