index,id,geometry,Тип,Субъект,Название,Направление поставок (объекты трубопроводного транспорта),Направление поставок (перерабатывающие заводы),Направление поставок (терминалы),Направление поставок (страны),Направление поставок (города),link_to,Источники поставок (объекты трубопроводного транспорта),Источники поставок (города),Источники поставок (страны),link_from
0,CompressorStation120,"{'type': 'Point', 'coordinates': [57.346903, 97.737465]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Чунояр",НПС-4 (Куюмба – Тайшет),ГНПС-1 Тайшет,,,,,"""https://energybase.ru/compressor-station/hops-taishet-vsto-1""",НПС-3 (Куюмба – Тайшет),,,"""https://energybase.ru/compressor-station/ops-3-kuyumba-taishet"""
1,CompressorStation121,"{'type': 'Point', 'coordinates': [58.638365, 97.164459]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Богучаны",НПС-3 (Куюмба – Тайшет),НПС-4 (Куюмба – Тайшет),,,,,"""https://energybase.ru/compressor-station/ops-4-kuyumba-taishet""",НПС-2 Юрубчен,,,"""https://energybase.ru/compressor-station/ops-2-yurubchen"""
2,CompressorStation122,"{'type': 'Point', 'coordinates': [60.321509, 96.322632]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Куюмба",НПС-2 Юрубчен,НПС-3 (Куюмба – Тайшет),,,,,"""https://energybase.ru/compressor-station/ops-3-kuyumba-taishet""",ГНПС-1 Куюмба,,,"""https://energybase.ru/compressor-station/hops-kuyumba"""
3,CompressorStation123,"{'type': 'Point', 'coordinates': [60.828013, 97.363243]}",        Головная нефтеперекачивающая станция (ГНПС),"Россия, Куюмба",ГНПС-1 Куюмба,НПС-2 Юрубчен,,,,,"""https://energybase.ru/compressor-station/ops-2-yurubchen""",,,,
4,CompressorStation124,"{'type': 'Point', 'coordinates': [43.883728, 132.773037]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Уссурийск",НПС-41 (Сковородино — Козьмино ВСТО-2),Площадка приема нефти СМНП Козьмино,,,,,"""https://energybase.ru/compressor-station/ops-42-vsto-2""",НПС-40 (Сковородино — Козьмино ВСТО-2),,,"""https://energybase.ru/compressor-station/ops-40-vsto-2"""
5,CompressorStation125,"{'type': 'Point', 'coordinates': [44.311259, 132.726774]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Уссурийск",НПС-40 (Сковородино — Козьмино ВСТО-2),НПС-41 (Сковородино — Козьмино ВСТО-2),,,,,"""https://energybase.ru/compressor-station/ops-41-vsto-2""",НПС-38 (Сковородино — Козьмино ВСТО-2),,,"""https://energybase.ru/compressor-station/ops-38-vsto-2"""
6,CompressorStation126,"{'type': 'Point', 'coordinates': [46.024323, 133.888364]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Дальнереченск",НПС-38 (Сковородино — Козьмино ВСТО-2),НПС-40 (Сковородино — Козьмино ВСТО-2),,,,,"""https://energybase.ru/compressor-station/ops-40-vsto-2""",НПС-36 (Сковородино — Козьмино ВСТО-2),,,"""https://energybase.ru/compressor-station/ops-36-vsto-2"""
7,CompressorStation127,"{'type': 'Point', 'coordinates': [47.275036, 134.502182]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Бикин",НПС-36 (Сковородино — Козьмино ВСТО-2),НПС-38 (Сковородино — Козьмино ВСТО-2),,,,,"""https://energybase.ru/compressor-station/ops-38-vsto-2""",НПС-34 (Сковородино — Козьмино ВСТО-2),,,"""https://energybase.ru/compressor-station/ops-34-vsto-2"""
8,CompressorStation128,"{'type': 'Point', 'coordinates': [48.562579, 135.337787]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Хабаровск",НПС-34 (Сковородино — Козьмино ВСТО-2),НПС-36 (Сковородино — Козьмино ВСТО-2),,,,,"""https://energybase.ru/compressor-station/ops-36-vsto-2""",НПС-32 (Сковородино — Козьмино ВСТО-2),,,"""https://energybase.ru/compressor-station/ops-32-vsto-2"""
9,CompressorStation129,"{'type': 'Point', 'coordinates': [48.934341, 131.133413]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Биробиджан",НПС-30 Облучье (Сковородино — Козьмино ВСТО-2),НПС-32 (Сковородино — Козьмино ВСТО-2),,,,,"""https://energybase.ru/compressor-station/ops-32-vsto-2""",НПС-29 (Сковородино — Козьмино ВСТО-2),,,"""https://energybase.ru/compressor-station/ops-29-vsto-2"""
10,CompressorStation130,"{'type': 'Point', 'coordinates': [50.525828, 129.049959]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Благовещенск",НПС-27 (Сковородино — Козьмино ВСТО-2),НПС-29 (Сковородино — Козьмино ВСТО-2),,,,,"""https://energybase.ru/compressor-station/ops-29-vsto-2""",НПС-26 (Сковородино — Козьмино ВСТО-2),,,"""https://energybase.ru/compressor-station/ops-26-vsto-2"""
11,CompressorStation131,"{'type': 'Point', 'coordinates': [52.32894, 127.068043]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Шимановск",НПС-24 (Сковородино — Козьмино ВСТО-2),НПС-26 (Сковородино — Козьмино ВСТО-2),,,,,"""https://energybase.ru/compressor-station/ops-26-vsto-2""",НПС-23 (Сковородино — Козьмино ВСТО-2),,,"""https://energybase.ru/compressor-station/ops-23-vsto-2"""
12,CompressorStation132,"{'type': 'Point', 'coordinates': [54.61197, 100.554557]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Тулун",ПНПС Тулун,НПС Кимильтей,,,,,"""https://energybase.ru/compressor-station/ops-kimeltey""",ПНПС Нижнеудинск,,,"""https://energybase.ru/compressor-station/ops-nizhneudinsk"""
13,CompressorStation133,"{'type': 'Point', 'coordinates': [54.89612, 98.978362]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Нижнеудинск",ПНПС Нижнеудинск,ПНПС Тулун,,,,,"""https://energybase.ru/compressor-station/ops-tulun""",ПНПС Замзор,,,"""https://energybase.ru/compressor-station/ops-zamzor"""
14,CompressorStation134,"{'type': 'Point', 'coordinates': [55.385011, 98.621306]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Алзамай",ПНПС Замзор,ПНПС Нижнеудинск,,,,,"""https://energybase.ru/compressor-station/ops-nizhneudinsk""",ПНПС Тайшет,,,"""https://energybase.ru/compressor-station/ops-taishet"""
15,CompressorStation135,"{'type': 'Point', 'coordinates': [53.950378, 124.252024]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Сковородино",НПС-21 Сковородино,НПС-23 (Сковородино — Козьмино ВСТО-2),,,,,"""https://energybase.ru/compressor-station/ops-23-vsto-2""",НПС-20 Тында (Тайшет - Сковородино ВСТО-1),,,"""https://energybase.ru/compressor-station/ops-20-vsto-1"""
16,CompressorStation136,"{'type': 'Point', 'coordinates': [55.160435, 125.003643]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Тында",НПС-20 Тында (Тайшет - Сковородино ВСТО-1),НПС-21 Сковородино,,,,,"""https://energybase.ru/compressor-station/ops-21-vsto-1""",НПС-19 (Тайшет - Сковородино ВСТО-1),,,"""https://energybase.ru/compressor-station/ops-19-vsto-1"""
17,CompressorStation137,"{'type': 'Point', 'coordinates': [56.586693, 124.874983]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Нерюнгри",НПС-19 (Тайшет - Сковородино ВСТО-1),НПС-20 Тында (Тайшет - Сковородино ВСТО-1),,,,,"""https://energybase.ru/compressor-station/ops-20-vsto-1""",НПС-18 (Тайшет - Сковородино ВСТО-1),,,"""https://energybase.ru/compressor-station/ops-18-vsto-1"""
18,CompressorStation138,"{'type': 'Point', 'coordinates': [57.911337, 125.512104]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Алдан",НПС-18 (Тайшет - Сковородино ВСТО-1),НПС-19 (Тайшет - Сковородино ВСТО-1),,,,,"""https://energybase.ru/compressor-station/ops-19-vsto-1""",НПС-17 Алдан (Тайшет - Сковородино ВСТО-1),,,"""https://energybase.ru/compressor-station/ops-17-vsto-1"""
19,CompressorStation139,"{'type': 'Point', 'coordinates': [58.542562, 125.333383]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Алдан",НПС-17 Алдан (Тайшет - Сковородино ВСТО-1),НПС-18 (Тайшет - Сковородино ВСТО-1),,,,,"""https://energybase.ru/compressor-station/ops-18-vsto-1""",НПС-16 (Тайшет - Сковородино ВСТО-1),,,"""https://energybase.ru/compressor-station/ops-16-vsto-1"""
20,CompressorStation140,"{'type': 'Point', 'coordinates': [59.327476, 123.514094]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Алдан",НПС-16 (Тайшет - Сковородино ВСТО-1),НПС-17 Алдан (Тайшет - Сковородино ВСТО-1),,,,,"""https://energybase.ru/compressor-station/ops-17-vsto-1""",НПС-15 (Тайшет - Сковородино ВСТО-1),,,"""https://energybase.ru/compressor-station/ops-15-vsto-1"""
21,CompressorStation141,"{'type': 'Point', 'coordinates': [59.958706, 122.108231]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Олёкминск",НПС-15 (Тайшет - Сковородино ВСТО-1),НПС-16 (Тайшет - Сковородино ВСТО-1),,,,,"""https://energybase.ru/compressor-station/ops-16-vsto-1""",НПС-14 Олёкминск (Тайшет - Сковородино ВСТО-1),,,"""https://energybase.ru/compressor-station/ops-14-vsto-1"""
22,CompressorStation142,"{'type': 'Point', 'coordinates': [60.409953, 120.854244]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Олёкминск",НПС-14 Олёкминск (Тайшет - Сковородино ВСТО-1),НПС-15 (Тайшет - Сковородино ВСТО-1),,,,,"""https://energybase.ru/compressor-station/ops-15-vsto-1""",НПС-13 (Тайшет - Сковородино ВСТО-1),,,"""https://energybase.ru/compressor-station/ops-13-vsto-1"""
23,CompressorStation143,"{'type': 'Point', 'coordinates': [60.707548, 118.025608]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Олом",НПС-13 (Тайшет - Сковородино ВСТО-1),НПС-14 Олёкминск (Тайшет - Сковородино ВСТО-1),,,,,"""https://energybase.ru/compressor-station/ops-14-vsto-1""",НПС-12 (Тайшет - Сковородино ВСТО-1),,,"""https://energybase.ru/compressor-station/ops-12-vsto-1"""
