		total PDF_2007 -> no CF	total PDF_2007 -> no CF	total PDF_2007 -> no CF	total PDF_2007 -> no CF	total PDF_2007 -> no CF	total PDF_2007 -> no CF	total PDF_2007 -> no CF	total PDF_2007 -> no CF	total PDF_2007 -> no CF	CF -> multiply with extension in exiobase	CF -> multiply with extension in exiobase	CF -> multiply with extension in exiobase	CF -> multiply with extension in exiobase	CF -> multiply with extension in exiobase
Name	Row Labels	Cereals nec	Other crops	Fodder crops	Oil bearing crops	Paddy rice	Fibres	Sugar crops	 Vegetables, fruit, nuts	Wheat	Intensive forestry	Other (average)	Pasture	Urban	Extensive forestry
South Africa	ZA	1.58E-04	1.30E-06	3.31E-05	3.66E-05	3.32E-08	4.00E-07	1.48E-05	2.56E-05	4.53E-05	5.72E-15	3.42E-15	5.93E-15	3.63E-15	3.12E-15
RoW Africa	WF	1.04E-03	2.26E-04	4.78E-06	3.05E-04	3.97E-04	2.86E-05	3.96E-05	1.20E-03	9.48E-05	7.71E-16	1.16E-15	1.11E-15	2.02E-15	2.17E-16
Australia	AU	1.54E-04	7.57E-08	1.81E-05	2.30E-05	5.51E-07	9.61E-07	1.25E-05	3.68E-05	2.28E-04	1.54E-15	9.62E-16	1.67E-15	1.06E-15	9.75E-16
China	CN	4.03E-04	3.41E-05	2.49E-05	2.53E-04	3.30E-04	2.88E-05	2.32E-05	4.98E-04	3.12E-04	1.37E-15	8.11E-16	1.22E-15	8.49E-16	7.38E-16
Taiwan	TW	9.31E-07	3.00E-06	3.00E-06	1.23E-06	1.58E-05	1.87E-08	3.00E-06	0.00E+00	1.60E-09	1.81E-14	1.84E-14	1.67E-14	2.76E-14	6.07E-15
Austria	AT	1.05E-05	7.85E-10	4.92E-06	2.10E-06	3.26E-06	4.36E-09	7.90E-07	2.52E-06	5.27E-06	1.98E-15	1.14E-15	1.81E-15	1.25E-15	9.48E-16
Belgium	BE	1.12E-06	1.02E-06	3.20E-06	1.82E-07	1.13E-06	2.53E-08	7.28E-07	1.14E-06	1.62E-06	4.92E-16	2.75E-16	5.17E-16	3.17E-16	1.72E-16
Bulgaria	BG	4.36E-06	9.33E-07	1.49E-06	7.28E-06	1.10E-07	2.31E-09	1.31E-08	1.93E-06	1.30E-05	1.04E-15	5.59E-16	1.10E-15	6.49E-16	2.97E-16
Czech Republic	CZ	4.45E-06	3.89E-08	2.04E-06	2.96E-06	1.89E-06	4.05E-09	3.37E-07	5.45E-07	4.72E-06	4.96E-16	2.82E-16	5.29E-16	3.26E-16	1.79E-16
Germany	DE	1.94E-05	8.75E-08	6.68E-05	9.14E-06	1.69E-05	1.69E-05	2.60E-06	3.31E-06	1.66E-05	4.76E-16	2.68E-16	5.03E-16	3.08E-16	1.72E-16
Denmark	DK	3.35E-06	8.08E-11	3.90E-06	7.36E-07	1.64E-06	1.64E-06	1.97E-07	2.80E-07	2.98E-06	4.03E-16	2.30E-16	4.43E-16	2.79E-16	1.37E-16
Estonia	EE	5.26E-07	4.46E-07	1.53E-06	2.22E-07	4.46E-07	2.33E-09	4.46E-07	7.64E-08	3.18E-07	2.58E-16	1.32E-16	2.70E-16	1.50E-16	6.38E-17
Spain	ES	2.16E-04	5.55E-07	2.44E-05	1.58E-04	4.06E-06	1.68E-06	3.19E-06	1.24E-04	1.00E-04	4.37E-15	2.87E-15	5.68E-15	3.60E-15	1.43E-15
Finland	FI	3.46E-07	9.70E-08	9.70E-08	3.17E-08	9.70E-08	9.70E-08	6.01E-09	2.13E-08	8.02E-08	1.69E-16	6.40E-17	3.44E-17	8.90E-17	3.96E-17
France	FR	5.18E-05	6.39E-07	3.65E-05	2.69E-05	2.10E-07	1.06E-06	6.36E-06	1.75E-05	6.51E-05	1.16E-15	6.94E-16	1.34E-15	7.95E-16	3.89E-16
Greece	GR	2.62E-05	8.34E-07	2.18E-05	3.04E-05	1.63E-06	8.16E-06	8.89E-07	2.26E-05	4.07E-05	4.81E-15	3.09E-15	6.11E-15	3.54E-15	1.82E-15
Croatia	HR	7.88E-06	1.90E-07	5.23E-06	1.83E-06	3.27E-06	3.27E-06	9.40E-07	2.16E-06	4.65E-06	1.81E-15	1.13E-15	2.15E-15	1.33E-15	6.22E-16
Hungary	HU	9.65E-06	3.32E-08	4.25E-06	4.99E-06	2.05E-08	3.52E-09	3.28E-07	1.49E-06	8.31E-06	5.22E-16	2.92E-16	5.51E-16	3.39E-16	1.69E-16
Ireland	IE	5.27E-07	2.43E-09	1.40E-07	2.12E-08	1.40E-07	1.40E-07	0.00E+00	7.46E-08	2.17E-07	2.62E-16	1.36E-16	2.44E-16	1.44E-16	1.41E-16
