		Rice	Wheat	Other cereals	Vegetables…	oil crops	Sugar	Fibres	other crops	Agriculture	NON-AGRI
		C_PARI	C_WHEA	C_OCER	C_FVEG	C_OILS	C_SUGB	C_FIBR	C_OTCR	Agriculture	NON-AGRI
South Africa	Africa	1	38.8435	5.9984	18.0002	17.7942	3.4022	1	27.3282	19.9904	19.5816
RoW Africa	Africa	12.9179	75.8844	31.6907	25.7376	25.6054	29.6845	13.9884	19.7546	28.8498	28.8498
Australia	Australia	2.5234	12.29	20.1407	32.161	12.6112	11.0594	1	18.677	15.0469	25.4645
China	China	9.03	64.749	60.0322	56.8633	46.8997	15.0399	39.502	43.3161	45.5515	27.6714
Taiwan	China	3.9942	3.9942	3.9942	3.9942	3.9942	3.9942	3.9942	3.9942	3.9942	7.6982
Austria	Western Europe	1	1.2646	1.2645	1.2643	1.2645	1.2645	1	1.2645	1.2645	1.1923
Belgium	Western Europe	1	1.5007	1.4398	1.4871	1.4648	1.5135	1	1.5437	1.5048	1.1644
Bulgaria	Central Europe	58.1307	28.4293	21.5244	32.4137	24.2936	13.6951	1	33.8232	27.4332	10.8254
Czech Republic	Central Europe	1	1.9492	1.9145	1.7016	1.9949	1.8115	1.6641	1.7826	1.8829	1.6919
Germany	Western Europe	1	1.5564	1.5107	1.3931	1.6672	1.4785	2.0646	1.5684	1.547	1.2418
Denmark	Western Europe	1	1.9634	1.9646	1.9101	2.0351	1.9873	1	1.9685	1.9674	4.8304
Estonia	Former Soviet Union	0.8534	0.8534	0.8534	0.8534	0.8534	0.8534	0.8534	0.8534	0.8534	1.597
Spain	Western Europe	83.2767	80.7538	74.4431	75.1893	84.9728	80.6574	71.2968	77.2827	78.9847	31.4913
Finland	Western Europe	1	1.2358	1.2367	1.3494	1.1967	1.2521	1	1.1917	1.2227	1.9616
France	Western Europe	11.0629	4.0191	5.3148	15.5285	5.1897	2.6327	3.8543	7.604	6.5714	2.3146
Greece	Western Europe	45.447	55.8792	58.9519	66.3413	71.6292	59.8043	1	62.3211	65.7982	30.7384
Croatia	Former Soviet Union	15.3989	15.3989	15.3989	15.3989	15.3989	15.3989	15.3989	15.3989	15.3989	15.3989
Hungary	Central Europe	1.2638	1.2638	1.2638	1.2638	1.2638	1.2638	1	1.2638	1.2638	1.1641
Ireland	Western Europe	1.4347	1.4347	1.4347	1.4347	1.4347	1.4347	1.4347	1.4347	1.4347	0.7122
Italy	Western Europe	4.863	42.5208	12.064	38.6415	55.7519	24.183	1	30.5328	33.527	17.7519
Lithuania	Former Soviet Union	1	1.3537	1.3365	1.3442	1.3435	1.3935	1.3605	1.3163	1.3355	1.2746
Luxembourg	Western Europe	1	0.787	0.788	0.7834	0.7859	1	1	0.7863	0.7869	0.7766
Latvia	Former Soviet Union	1	1.1557	1.1551	1.162	1.0871	1.1821	1.2035	1.1444	1.1521	1.31
Malta	Central Europe	39.1243	26.9799	12.4009	16.2763	15.4681	6.1118	13.3903	18.315	16.8027	16.8027
Netherlands	Western Europe	1	1.2315	1.2308	1.2391	1.241	1.2363	1.2342	1.2417	1.2381	1.0083
Poland	Central Europe	1	2.0389	2.0333	2.0068	2.0934	2.074	1.7455	2.0037	2.0295	1.9406
Portugal	Western Europe	34.3036	54.6793	45.5504	45.2971	47.2263	28.0813	1	47.2658	46.1894	15.3263
Romania	Central Europe	1.2638	4.5893	3.4859	4.5626	5.2808	2.1448	1	4.413	4.2101	2.5419
Sweden	Western Europe	1	2.4759	2.7543	2.4528	2.6465	2.6256	1	2.5899	2.6269	4.0265
Slovenia	Central Europe	1	1.1834	1.2157	1.2276	1.265	1.2	1	1.2196	1.2118	1.0117
Slovak Republic	Central Europe	1	1.2696	1.2676	1.2659	1.2665	1.2643	1.2871	1.2686	1.2679	1.273
United Kingdom	Western Europe	4.6081	4.6081	4.6081	4.6081	4.6081	4.6081	4.6081	4.6081	4.6081	3.133
Switzerland	Western Europe	2.7091	0.8094	0.811	0.7983	0.8035	0.821	1	0.8053	0.8081	0.8213
Norway	Western Europe	1	0.77	0.7698	0.6677	0.8744	1	1	0.8305	0.7997	0.6357
RoW Europe*	Former Soviet Union	39.1243	26.9799	12.4009	16.2763	15.4681	6.1118	13.3903	18.315	16.8027	16.8027
India	India	30.7257	32.4731	38.6595	25.9707	25.9334	11.4938	11.0813	26.9827	27.2357	21.3427
Brazil	Latin America	1.2007	0.7666	2.3307	4.1967	1.9117	1.9946	3.8402	2.27	2.2293	1.8798
RoW America	Latin America	10.1761	13.6677	20.6231	27.6691	3.4603	4.3877	31.7989	15.4363	15.3396	15.3396
Cyprus	Central Europe	74.7273	74.7273	74.7273	74.7273	74.7273	74.7273	74.7273	74.7273	74.7273	60.9242
Turkey	Western Europe	41.3188	33.2621	35.4586	37.0496	39.1242	35.8119	1	28.4713	34.7282	20.6776
RoW Middle East	Middle East	79.7385	68.4131	77.9779	65.745	74.1695	87.1486	97.7316	82.8533	74.6121	74.6121
United States	North America	26.0773	7.3453	6.4079	62.0484	10.0514	12.113	100	23.4402	17.2434	9.514
Canada	North America	9.6508	9.6508	9.6508	9.6508	9.6508	9.6508	9.6508	9.6508	9.6508	2.6184
Mexico	North America	5.7904	44.5753	38.8523	18.4818	39.4622	19.7515	28.5734	22.7487	29.8387	20.1559
Japan	Japan	0.511	0.511	0.511	0.511	0.511	0.511	0.511	0.511	0.511	0.9479
South Korea	South East Asia and Pacific	0.8602	0.7448	0.8059	0.8256	0.9	1	1	0.8857	0.845	2.2311
Indonesia	South East Asia and Pacific	23.8062	1	14.6291	28.7387	30.0095	26.0314	1	29.2367	28.5091	10.5242
RoW Asia and Pacific	South East Asia and Pacific	14.0545	17.0954	20.2917	17.1591	17.5704	16.6162	2.4871	15.7747	16.6474	16.6474
Russian Federation	Former Soviet Union	21.1032	7.2821	6.0508	13.7493	7.8718	7.2785	1.4134	7.0898	7.5805	3.9294
